name,price,sold,product_link,shipping
Phone Case For Tecno Camon 20 Pro 19 Neo Camon 17 18 P 15 Air 16S Soft Cover 6D Plating Astronaut Fold Stand ,"NGN2,312.01",50 sold,https://www.aliexpress.com/item/1005005950791652.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-20&pdp_npi=4%40dis%21NGN%212312.01%212312.01%21%21%212.88%21%21%40211b61d017019362331317358e6a30%2112000034993664529%21sea%21NG%210%21AB&curPageLogUid=GWB1goEPzYTw,Free shipping
Phone Case For Tecno Pova Neo 3 Cover Neo3 Funny Cartoon Soft Matte Silicone Anti Knock Protective Bumper Funda Capa Shell Coque ,NGN393.36,8 sold,https://www.aliexpress.com/item/1005005875862300.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-21&pdp_npi=4%40dis%21NGN%211123.89%21393.36%21%21%211.40%21%21%40211b61d017019362331317358e6a30%2112000034664697988%21sea%21NG%210%21AB&curPageLogUid=spb3xUXeQbhj,Free shipping
For Tecno Spark 10 Pro Case Full Protection Soft Silicone Matte Cover For Tecno Spark Go 2023 Shockproof Phone Case ,"NGN2,400.31",2 sold,https://www.aliexpress.com/item/1005005371284362.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-22&pdp_npi=4%40dis%21NGN%213002.40%212400.31%21%21%213.74%21%21%40211b61d017019362331317358e6a30%2112000032783000839%21sea%21NG%210%21AB&curPageLogUid=x7rduSRS4LPO,Free shipping
"Luxury Square Plating Phone Case For Tecno Spark 10 4G 10C 6.6"" Spark10 KI5q KI5k ShockProof Soft TPU Silicone Back Cover Fundas ","NGN2,223.7",67 sold,https://www.aliexpress.com/item/1005005686852954.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-23&pdp_npi=4%40dis%21NGN%213363.65%212223.7%21%21%214.19%21%21%40211b61d017019362331317358e6a30%2112000034010212457%21sea%21NG%210%21AB&curPageLogUid=tGC3kbjkD7cS,Free shipping
"[World Premiere] Blackview N6000 Rugged Machine 4.3"" Display Android 13, Helio G99 Octa Core, 16GB 256GB, 48MP Cameras, NFC ","NGN144,492.44","1,000+ sold",https://www.aliexpress.com/item/1005005819656453.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&aem_p4p_detail=202312070003533752372408418440000315202&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-24&pdp_npi=4%40dis%21NGN%21200687.07%21144492.44%21%21%21249.99%21%21%40211b61d017019362331317358e6a30%2112000034943729762%21sea%21NG%210%21AB&curPageLogUid=ccZRfqadqC45&search_p4p_id=202312070003533752372408418440000315202_9,"+Shipping: NGN10,139.12"
Ultra Thin Slim Silicone Soft TPU Back Cover for TECNO Pova 4 Pova 3 2 4 Pro Plating Shockproof Case TECNO Pova 2 3 LE7 n Bumper ,"NGN1,597.53",75 sold,https://www.aliexpress.com/item/1005003865661731.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-25&pdp_npi=4%40dis%21NGN%211597.53%211597.53%21%21%211.99%21%21%40211b61d017019362331317358e6a30%2112000031406311383%21sea%21NG%210%21AB&curPageLogUid=tayYq3GhS7nc,Free shipping
For Tecno Spark Go 2022 Case Cute Cartoon Dinosaur Soft Liquid Silicone Phone Case For Tecno Spark Go 2022 Spark 8C Cover Bumper ,NGN393.36,160 sold,https://www.aliexpress.com/item/1005005704319240.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-26&pdp_npi=4%40dis%21NGN%211597.53%21393.36%21%21%211.99%21%21%40211b61d017019362331317358e6a30%2112000034062716425%21sea%21NG%210%21AB&curPageLogUid=XnfOKz03tjiP,Free shipping
"Camon19 Pro Case Luxury Straight Edge Plating TPU Shockproof Soft Cover For Tecno Camon 19 Pro 4G 2022 6.8"" Camera Protect Funda ","NGN1,589.51",33 sold,https://www.aliexpress.com/item/1005004885740387.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-27&pdp_npi=4%40dis%21NGN%211990.90%211589.51%21%21%212.48%21%21%40211b61d017019362331317358e6a30%2112000030890896708%21sea%21NG%210%21AB&curPageLogUid=WyTFJdiOOcEG,Free shipping
Wrist strap For Tecno Phantom V Flip Case Ring Bracket PU Leather Protection Cover ,"NGN7,987.66",3 sold,https://www.aliexpress.com/item/1005006121999588.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-28&pdp_npi=4%40dis%21NGN%217987.66%217987.66%21%21%219.95%21%21%40211b61d017019362331317358e6a30%2112000035852690828%21sea%21NG%210%21AB&curPageLogUid=qZ3XHxozttRq,Free shipping
21D Full Glue Tempered Glass For Tecno Spark 6 KE7 10H Full Screen Cover Screen Protector Film For Tecno Spark 6 KE7 ,"NGN2,247.79",3 sold,https://www.aliexpress.com/item/1005001457054218.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&aem_p4p_detail=202312070003533752372408418440000315202&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-29&pdp_npi=4%40dis%21NGN%212641.15%212247.79%21%21%213.29%21%21%40211b61d017019362331317358e6a30%2112000016190469176%21sea%21NG%210%21AB&curPageLogUid=s2nP1jnM7xO8&search_p4p_id=202312070003533752372408418440000315202_10,+Shipping: NGN473.64
For Tecno Spark 10 Pro Case Cartoon Liquid Silicone Shockproof Back Cover For Tecno Spark10 Pro Spark 10 Pro 10Pro 4G Phone Case ,NGN393.36,448 sold,https://www.aliexpress.com/item/1005005652788235.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-30&pdp_npi=4%40dis%21NGN%211597.53%21393.36%21%21%211.99%21%21%40211b61d017019362331317358e6a30%2112000033895380926%21sea%21NG%210%21AB&curPageLogUid=MzKB3znbXWxX,Free shipping
For Tecno Pop 5 LTE Case Pop5 LTE Cute Dinosaur Liquid Silicone Phone Back Cover for Tecno Pop 5 LTE BD4 BD4i BD4a Bumper 6.52'' ,NGN393.36,140 sold,https://www.aliexpress.com/item/1005005620753298.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-31&pdp_npi=4%40dis%21NGN%211123.89%21393.36%21%21%211.40%21%21%40211b61d017019362331317358e6a30%2112000033775541762%21sea%21NG%210%21AB&curPageLogUid=gcZR11jHtAES,Free shipping
Cover For Tecno Spark 10 C Pro Bumper Case Colourful Rainbow Slim Silicone Anti Slip Shell For Tecno Spark 10C 10Pro 4G 5G Coque ,NGN393.36,23 sold,https://www.aliexpress.com/item/1005005743976583.html?algo_pvid=b14c24f2-2372-4811-828e-a3f927ea9d2a&algo_exp_id=b14c24f2-2372-4811-828e-a3f927ea9d2a-32&pdp_npi=4%40dis%21NGN%211597.53%21393.36%21%21%211.99%21%21%40211b61d017019362331317358e6a30%2112000034186183717%21sea%21NG%210%21AB&curPageLogUid=vPuHZEJnWbNT,Free shipping
